No.,Partner Instansi,Negara,Alamat,Jumlah Mitra,MoU,MoA,IA,Agenda  Kerjasama,Bergelar (JD/DD),TANPA Gelar,Student Exchange,Tgl Tanda Tangan,Tgl Berakhir,Tanggal Auto Renewed/No Limit/Years to come,Pendidikan Luar Negeri,Industri Luar Negeri,Organisasi Luar Negeri,Yayasan Luar Negeri,Pemerintah Luar Negeri,Faculty of Humanities and Creative Industries,,,,,,,,Faculty of Civil Engineering & Planning,,,,,School of Business & Management,,,,,,,,,,,,,Faculty of Industrial Technology,,,,,,Faculty of Teacher Education,,Faculty of Medicine,Faculty of Dentistry,Bureau,,,,,,,,,,Scope of Collaboration,,,,
29,"Beijing University of Posts and Telecommunication (School of Humanities) (BUPT), Beijing",China,"No 10, Xitucheng Road, Haidian District, Beijing, PRC, 100876",TRUE,FALSE,TRUE,FALSE,MoA: Chinese Language Training Program (Internship Program),,1,,22-Nov-19,auto renewed,21-Nov-24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
30,"Chaoshan College, China",China,"1 Daxue Rd, Puning Shi, Jieyang Shi, Guangdong Sheng",TRUE,TRUE,FALSE,FALSE,"MoU: 1. student mobility
2. faculty and researcher mobility
3. exchange of academic information and publications
4. joint research activities
5. joint organizers of international research conferences
6. exchanges of academic and cultural nature",,1,,8-Nov-18,7-Nov-23,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
31,"Golden Diamond Hotel Zhongshan, Co. Ltd. China",China,"33 Kanghua, Distrik Shiqi, Zhongshan City Center",TRUE,TRUE,FALSE,FALSE,MoU: Student Placement Agreement (PKL),,1,,28-Dec-13,28-Dec-15,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
32,"Guangdong University of Foreign Studies (GDUFS), China",China,"2 Baiyun N Ave, Baiyun Qu, Guangzhou Shi, Guangdong Sheng, China, 510420",TRUE,TRUE,FALSE,FALSE,"MoU: 1. collaborative research and publication, 
2. visits between universities by academic, technical and administrative staff 
3. student articulation of courses at the two universities, 
4. sharing of academic materials, 
5. joint organisation of conferences, seminars, or other academic meetings
6. joint organisation of special technical or administrative programs
7. joint production and delivery of courses and programs",,1,,2-Aug-17,1-Aug-22,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
33,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",TRUE,TRUE,FALSE,FALSE,"MoU: Friendly School relationship (offer each other information and necessary assistance in international academic and cultural exchange such as exchanging information of educational planning and achievement of educational research, and discusing specific strategies in the development of higher education; send visiting scholars to exchange academic achievements in research; send exchange students; send professors or training teachers)",,1,,16-Sep-03,15-Sep-07,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
34,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,TRUE,FALSE,FALSE,"MoU:  1. Exchange of faculty members, research scholars, and students
2. Exchange of lectures/presentations
3. Twinning Program (Double Degree) and Graduate Degree Program
4. Joint research activities and publication, conferences, academic programs, and cultural activities
5. Joint research projects and joint course",,1,,1-Jul-10,30-Jun-15,30-Jun-15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
35,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,TRUE,FALSE,FALSE,"MoU: 
1. exchange of faculty members, research scholars and students
2. exchange of lectures/presentations via video teleconference activities; including scientific materials, publications, and information
3. cross recognition toward Twinning Program and Graduate Degree Program 
4. joint research activities and publications, conferences, academic programs, and cultural activities
5. joint research projects and joint courses of study",,1,,14-Dec-16,auto renewed,13-Dec-21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
36,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,"MoA: Study Abroad Agreement (2+2 program, immersion program, summer program)",,1,1,24-Jun-05,auto renewed,6-Jan-10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
37,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,MoA: Immersion Program,,1,,1-Aug-10,31-Jul-15,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
38,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,MoA: Immersion Program,,1,,14-Dec-16,13-Dec-21,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
39,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,TRUE,FALSE,FALSE,"Letter of Intent (MoU): 
Exchange of staff members, exchange of students, exchange of information, coordination for joint projects, visiting professors ",,1,,2001,end,years to come,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
40,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,Contract: Dual Degree Program (Joint Degree),1,,,21-Oct-08,31-Jan-10,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
41,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,Contract Study Program for Fall Semester 2008/2009,,1,,21-Oct-08,28-Feb-09,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
42,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,Contract Study Program for Fall Semester 2006/2007,,1,,4-Sep-06,31-Jan-07,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
43,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,Contract Study Program for Fall Semester 2005/2006,,1,,22-Aug-05,31-Jan-06,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
44,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,Appendix to MoA: Immersion Program (first semester year 2011/2012),,1,,1-Aug-11,31-Jan-12,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
45,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,Appendix to MoA: Immersion Program (first semester year 2012/2013),,1,,1-Aug-12,31-Jan-13,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
46,"Guangxi Normal University, P. R. China",China,"15 Yucai Road, Guilin, P.R China 541004",FALSE,FALSE,TRUE,FALSE,Appendix to MoA: Immersion Program (first semester year 2014/2015),,1,,1-Aug-14,31-Jan-15,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
47,"Guangxi University of Science and Technology (GXUST), China",China,"268 East Central Avenue, Guangxi Liuzhou",TRUE,TRUE,FALSE,FALSE,"MoU:  Visit between mutual leaders, exchange student and staff, joint development of training programs, foundation course program, undergraduate and postgraduate programs, joint development of programs for short-term language and cultural experience, joint development of program for scientific research, exchange of academic information",,1,,10-Apr-13,9-Apr-16,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
48,"Guangxi University of Science and Technology (GXUST), China",China,"268 East Central Avenue, Guangxi Liuzhou",FALSE,FALSE,TRUE,FALSE,MoA: Joint Degree,1,,,8-Nov-14,7-Nov-19,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
49,"Guangxi University of Science and Technology (GXUST), China",China,"268 East Central Avenue, Guangxi Liuzhou",FALSE,FALSE,TRUE,FALSE,MoA: Joint Degree,1,,,27-May-15,26-May-20,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
50,"Guangzhou University, P. R. China",China,"230 Wai Huan Xi Road,GuangZhou Higher Education Mega Center GuangZhou, 510006",TRUE,TRUE,FALSE,FALSE,"MoU: Visiting scholars, exchange faculty members and research scholars, student exchange, twinning program or second degree program, joint research, exchange of teaching and research materials, seminars, training programs, guest lecture, etc.",,1,,1-Nov-10,31-Oct-15,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
51,"Hebei Normal University, P. R. China",China,"Shijiazhuang City, Hebei Province, South Second Ring Road on the 20th 050 024",TRUE,TRUE,FALSE,FALSE,"MoU:
1. Exchange information
2. sending expert in Chinese major
3. exchange students
4. stay in touch between lecturers and students",,1,,1-Sep-08,20-Nov-12,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
52,"Hebei Normal University, P. R. China",China,"Shijiazhuang City, Hebei Province, South Second Ring Road on the 20th 050 024",FALSE,FALSE,TRUE,FALSE,Appendix to MoA Double Degree 2013-2014,1,,,31-May-13,31-Jul-14,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
53,"Hebei Normal University, P. R. China",China,"Shijiazhuang City, Hebei Province, South Second Ring Road on the 20th 050 024",FALSE,TRUE,FALSE,FALSE,"Appendix MoU: 
1. Exchange educational planning and research, 
2. Send Chinese major lecturer, 
3. Exchange students",,1,,1-Sep-08,31-Oct-12,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
54,Hong Kong Baptist University (HKBU),Hong Kong,"Kowloon Tong, Kowloon",TRUE,FALSE,TRUE,FALSE,MoA: Student Exchange,,1,1,4-Dec-02,3-Dec-08,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
55,Hong Kong Baptist University (HKBU),Hong Kong,"Kowloon Tong, Kowloon",FALSE,FALSE,TRUE,FALSE,MoA: Study Abroad Agreement,,1,1,29-Mar-05,28-Mar-09,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
56,"Hua Qiao University, Quanzhou, P. R. China",China,"China, Fujian Province, Quanzhou, Fengze, 269 North Road City 362021",TRUE,TRUE,FALSE,FALSE,"MoU: Friendly School relationship (offer each other information and necessary assistance in international academic and cultural exchange such as exchanging information of educational planning and achievement of educational research, and discusing specific strategies in the development of higher education; send visiting scholars to exchange academic achievements in research; send exchange students; send professors or training teachers)",,1,,31-Jul-02,30-Jul-06,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
57,"Hua Qiao University, Quanzhou, P. R. China",China,"China, Fujian Province, Quanzhou, Fengze, 269 North Road City 362021",FALSE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of faculty members, research scholars, and students
2. Exchange of lectures/presentations
3. Twinning Program (Double Degree) and Graduate Degree Program
4. Joint research activities and publication, conferences, academic programs, and cultural activities
5. Joint research projects and joint course",,1,,1-Jul-11,auto renewed,30-Jun-16,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
58,"Nanchang University, China",China,"235 Nanjing Donglu Nanchang 330047, Jiangxi, China",TRUE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of students
2. Exchange of faculty, staff, & researches
3. Exchange of academic information and publications
4. Joint research activities
5. Summer/winter school/short term program participation
6. Joint organizers of international research conferences
7. Other exchanges of academic & cultural nature agreed upon by both parties",,1,,24-Nov-19,23-Nov-24,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
59,"Nanjing Xiaozhuang College, P.R. China",China,"41 Beiwei Road, Jianye, Nanjing, Jiangsu",TRUE,TRUE,FALSE,FALSE,"MoU: Friendly School relationship (offer each other information and necessary assistance in international academic and cultural exchange such as exchanging information of educational planning and achievement of educational research, and discusing specific strategies in the development of higher education; send visiting scholars to exchange academic achievements in research; send exchange students; send professors or training teachers)",,1,,22-Aug-02,21-Aug-06,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
60,National Office for Teaching Chinese,China,,TRUE,FALSE,FALSE,FALSE,,,1,,16-Dec-02,end,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
